"IdNormativa";"TipoNormativa";"Titulo";"OrganoResp";"IdAprobadoPorOrg";"AprobadoPorOrg";"IdEntidad";"Entidad";"IdEstructuraResponsable";"EstructuraResponsable";"Caracter";"FAprobado";"FEntradaVigor";"Descripcion";"Documento";"BOUPV";"Numero";"TextoConsolidado";"Vigente";"FFinVigencia";"CreadoPor";"FCreado";"ModificadoPor";"FModificado";"Comentarios";"ContenidoCAS";"ContenidoVAL";"Verificada"
11;"Acuerdo";"Acuerdos más destacados del Consejo de Gobierno de 2006";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";31/12/2006 0:00:00;;"Acuerdos más destacados del Consejo de Gobierno de 2006 - BOUPV 0
	26.01.06 (Provisional)
		- Acuerdo de aprobar los Reglamentos de los Departamentos de Biología Vegetal, de Lingüística Aplicada y de Ingeniería de Sistemas y Automática
		- Acuerdo de aprobar la creación del Comité de Ética en Investigación en la Universidad Politécnica de Valencia y aprobación de su Reglamento Provisional
	02.03.06
		- Acuerdo de aprobar la modificación del Reglamento del Consejo de Gobierno
		- Acuerdo de aprobar el Reglamento del Departamento de Expresión Gráfica Arquitectónica
		- Acuerdo de aprobar la renovación de la Junta Electoral
		- Acuerdo de aprobar la designación de los miembros de la Junta Consultiva de la UPV:
		- Acuerdo de aprobar los límites de admisión para el curso académico 2006-2007
		- Acuerdo de aprobar el calendario escolar para el curso 2006-2007
	06.04.06
		- Acuerdo de aprobar la propuesta de creación de Comisiones del Consejo de Gobierno
		- Acuerdo de aprobar la concesión de la Medalla de Oro de la Universidad Politécnica de Valencia al profesor D. José Soler Sanz 
		- Acuerdo de aprobar la propuesta de elección de miembros del Consejo de Gobierno en el Consejo Valenciano de Universidades
		- Acuerdo de aprobar la propuesta de elección de los representantes del Consejo de Gobierno en el Consejo Social
		- Acuerdo de aprobar el Reglamento de Selección de Personal Docente e Investigador Interino
		- Acuerdo de aprobar el calendario laboral del PAS para el año 2006
	25.05.06
		- Acuerdo de aprobar la propuesta de elección de miembros de las Comisiones del Consejo de Gobierno
		- Acuerdo de aprobar la modificación de la Normativa de Concesión de los Premios Extraordinarios de Tesis Doctorales de la UPV
	29.06.06
		- Acuerdo de aprobar los Reglamentos de los Departamentos de Ciencia Animal y de Sistemas Informáticos y Computación
		- Acuerdo de aprobar la inscripción en la UPV de la asociación Plataforma UPV Proanimales
		- Acuerdo de aprobar la creación de la Subcomisión de Convalidaciones y Libre Elección
	27.07.06
		- Acuerdo de aprobar el Reglamento para las Estructuras de Investigación, Desarrollo e Innovación en la Universidad Politécnica de Valencia 
		- Acuerdo de aprobar la transformación del Centro Propio de Investigación e Innovación en Bioingeniería (Ci2B) a Instituto Propio de Investigación
		- Acuerdo de aprobar la concesión de la Medalla de la UPV a D. Amando Blanquer 
		- Acuerdo de aprobar el Reglamento por el que se aprueba la Normativa para el Desarrollo del Posgrado Oficial
		- Acuerdo de aprobar la propuesta de modificación de la Normativa Reguladora de los Estudios de Posgrado
	26.09.06
		- Acuerdo de aprobar los Reglamentos de los Departamentos de Ingeniería Electrónica, de Composición Arquitectónica, de Máquinas y Motores, de Pintura y de Comunicaciones 
		- Acuerdo de aprobar la creación del Centro de Investigación en Tecnologías Gráficas (CITG)
		- Acuerdo de aprobar la concesión de la Medalla de la Universidad Politécnica de Valencia a D. Antonio Adés
	09.11.06
		- Acuerdo de aprobar los Reglamentos de los Departamentos de Ingeniería Rural y Agroalimentaria y de Ingeniería Textil y Papelera
		- Acuerdo de aprobar el Reglamento del Boletín Oficial de la Universidad Politécnica de Valencia (BOUPV)
		- Acuerdo de inscribir en el registro de la Universidad Politécnica de Valencia las Asociaciones Agrupación Musical de la Escuela Politécnica Superior de Alcoy y PoLinux
		- Acuerdo de aprobar la creación del Instituto de Ciencia y Tecnología Animal (ICTA)
		- Acuerdo de aprobar la Normativa de Organización Docente
		- Acuerdo de aprobar la propuesta de Ayuda Complementaria a la Enseñanza. ACE 2005-2006
		- Acuerdo de aprobar la adhesión del Programa Esportestudi de la Universidad Politécnica de Valencia al Programa de Ayudas a Deportistas de Alto Nivel, correspondiente al año 2006
	14.12.06
		- Acuerdo de aprobar los Reglamentos de los Departamentos de Expresión Gráfica en la Ingeniería, de Economía y Ciencias Sociales y de Proyectos de Ingeniería
		- Acuerdo de aprobar la inscripción de la Asociación Policlick en el registro de la Universidad Politécnica de Valencia, así como sus Estatutos
		- Acuerdo de aprobar el Reglamento por el que se establece la Normativa sobre Prácticas en Empresas e Instituciones de los Alumnos de la Universidad Politécnica de Valencia
		- Acuerdo de aprobar la creación de la Subcomisión de Acción Social - Acuerdo de aprobar la concesión de la Medalla XXV Años de la Universidad Politécnica de Valencia
		- Acuerdo de aprobar el cambio de denominación de los Departamentos de Organización de Empresas, Economía Financiera y Contabilidad a Organización de Empresas y de Expresión Gráfica en la Ingeniería a Ingeniería Gráfica";;"0";;0;0;;"p4c0b43n4";7/2/2021 11:12:52;"p4c0b43n4";7/2/2021 11:14:03;;;;1
12;"Acuerdo";"Acuerdos más destacados del Claustro Universitario de 2006";2;149;"Claustro Universitario";120;"UPV";;;"Público";31/12/2006 0:00:00;;"Acuerdos más destacados del Claustro Universitario de 2006 - BOUPV 0
	02.02.06
		- Acuerdo de aprobar la elección de D. Manuel López Pellicer como Defensor Universitario de la Universidad Politécnica de Valencia
		- Acuerdo de aprobar como miembros de la Comisión de Ética de la Universidad Politécnica de Valencia:
	19.12.06
		- Acuerdo de aprobar el Reglamento del Defensor Universitario";;"0";;0;0;;"p4c0b43n4";7/2/2021 11:14:05;"p4c0b43n4";1/11/2023 19:18:40;;;;1
13;"Acuerdo";"Acuerdos más destacados del Consejo Social de 2006";2;100;"Consejo Social";30;"Consejo Social";;;"Público";31/12/2006 0:00:00;;"Acuerdos más destacados del Consejo Social de 2006 - BOUPV 0
	05.04.06 (Pleno)
		- Acuerdo de aprobar los Programas de Posgrado de la Universidad Politécnica de Valencia
		- Acuerdo de aprobar la liquidación del Presupuesto de la Universidad Politécnica de Valencia del ejercicio 2005 
	27.04.06 (Comisión de Asuntos Académicos)
		- Acuerdo de aprobar la participación de la Universidad Politécnica de Valencia en la Fundación de la Comunidad Valenciana para la Innovación Urbana y la Economía del Conocimiento
	12.06.06 (Pleno)
		- Acuerdo de aprobar la participación de la Universidad Politécnica de Valencia en la spin-off Das Photonics
	10.07.06 (Comisión de Asuntos Económicos)
		- Acuerdo de autorizar la transmisión por el Ayuntamiento de Gandia de la titularidad de dos solares de 7.000 m2 y de 5.159 m2 a favor de la Universidad Politécnica de Valencia
	11.09.06 (Comisión de Asuntos Económicos)
		- Acuerdo de autorizar a la Universidad Politécnica de Valencia para la adquisición de la titularidad de tres fincas rústicas de una superficie de 1,45 hectáreas sitas al paraje de La Herrada del Ayuntamiento de Utiel, por un precio global de 18.000 euros más IVA, siempre que este precio sea inferior o igual al de tasación pericial del bien 
	11.09.06 (Pleno)
		- Acuerdo de aprobar la modificación de la Normativa de Regulación de las Condiciones de Progreso y Permanencia de la Universidad Politécnica de Valencia
	13.11.06 (Pleno)
		- Acuerdo de aprobar los modelos de acuerdos de cooperación entre la Universidad Politécnica de Valencia y empresas, asociaciones y entidades sin ánimo de lucro sobre la cesión de espacios para la investigación en la Ciudad Politécnica de la Innovación
		- Acuerdo de aprobar la propuesta de másteres oficiales 2006.2007 
	20.12.06 (Pleno)
		- Acuerdo de aprobar el Presupuesto de la Universidad Politécnica de Valencia para el ejercicio 2007";;"0";;0;0;;"p4c0b43n4";7/2/2021 11:15:57;"p4c0b43n4";7/2/2021 13:35:22;;;;1
14;"Resolución";"Resolución del Rector, de 6 de abril de 2006, mediante la que se modifica la estructura orgánica y funcional de los órganos de gobierno unipersonales de ámbito general de la UPV";1;258;"Rector";167;"Rector";;;"Público";6/4/2006 0:00:00;6/4/2006 0:00:00;"Resolución del Rector, de 6 de abril de 2006, por la que se modifica la estructura orgánica y funcional de los órganos de gobierno unipersonal de ámbito general de la Universidad Politécnica de Valencia - BOUPV 0";;"0";;0;0;7/4/2009 0:00:00;"p4c0b43n4";7/2/2021 11:17:38;"fmbaena";16/10/2023 14:43:59;"Modifica: 
  Resolución del Rector de 5 de abril de 2005, mediante la que se aprueba la estructura orgánica y funcional de los órganos de gobierno unipersonales de ámbito general de la Universidad Politécnica de Valencia";;;1
15;"Comisiones";"Acuerdo de constitución y ámbito de actuación comisiones del Consejo de Gobierno";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";6/4/2006 0:00:00;7/4/2006 0:00:00;"Acuerdo de constitución y ámbito de actuación de las comisiones del Consejo de Gobierno de la Unoversidad Politécnica de Valencia (CG 06-04-2006) - BOUPV 0
Aprobado por acuerdo del Consejo de Gobierno de 6 de abril de 2006
Se crean las siguientes comisiones del Consejo de Gobierno:
	Comisión Permanente
	Comisión Económica y de Recursos Humanos
	Comisión de Promoción del Profesorado
	Comisión Académica
	Comisión de I+D+i
	Comisión de Postgrado
	Comisión de Normativa
	Comisión de Extensión Universitaria
	Subcomisión de Rendimiento Académico y Evaluación Curricular
Se mantienen en vigor:
	Comisión de Doctorado
	Comisión de Reclamaciones";;"0";;0;0;27/6/2013 0:00:00;"p4c0b43n4";7/2/2021 11:24:18;"p4c0b43n4";4/11/2023 13:10:38;"Deroga: 
  Todos los Acuerdos de la Junta de Gobierno y del Consejo de Gobierno provisional referentes a comisiones. No obstante, se mantendrán en vigor los acuerdos referentes a las Comisiones de Doctorado y de Reclamaciones.";;;1
16;"Reglamento";"Reglamento para las estructuras de investigación, desarrollo e innovación UPV";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";27/7/2006 0:00:00;28/7/2006 0:00:00;"Reglamento para las estructuras de investigación, desarrollo e innovación de la Universidad Politécnica de Valencia (CG 27-07-2006) - BOUPV 0
Aprobado por acuerdo del Consejo de Gobierno de 27 de julio de 2006
ESTRUCTURAS DE INVESTIGACIÓN EXISTENTES
	Institutos Universitarios Propios
		- Instituto Universitario de Ingeniería de Alimentos para el Desarrollo (IAD) (JG 01.06.99) (DOGV 06.04.05)
		- Instituto Universitario de Conservación y Mejora de la Agrodiversidad Valenciana (COMAV) (JG 01.06.99) (DOGV 02.08.05)
		- Instituto Universitario de Automática e Informática Industrial (AI2) (JG 25.11.99) (DOGV 06.04.05)
		- Instituto Universitario de Aplicaciones de Tecnologías de la Información y las Comunicaciones Avanzadas (ITACA)(JG 25.11.99) (DOGV 26.04.05)
		- Instituto Universitario de Telecomunicaciones y Aplicaciones Multimedia (iTEAM) (JG 25.11.99) (DOGV 02.08.05)
		- Instituto Universitario de Restauración del Patrimonio (IRP) (JG 21.12.99) (DOGV 18.01.06)
		- Instituto Universitario de Matemática Multidisciplinar (IMM) (JG 10.04.01) (DOGV 02.08.05)
		- Instituto Universitario de Ingeniería del Agua y del Medio Ambiente (IIAMA) (JG 26.07.01) (DOGV 02.08.05)
		- Instituto Universitario CMT – Motores Térmicos (JG 13.12.01) (DOGV 06.04.05)
		- Instituto Universitario de Tecnología Nanofotónica (NTC) (CGP 24.07.03) (DOGV 02.08.05)
		- Institutos Universitarios Mixtos y Concertados
		- Instituto Universitario de Biomecánica de Valencia (IBV) (JG 26.10.88) (DOGV 14.02.91)
		- Instituto Universitario Mixto de Tecnología Química (ITQ) (JG 26.10.89) (DOGV 06.04.05)
		- Instituto Universitario Mixto de Biología Molecular y Celular de Plantas (IBMCP) (JG 17.11.92) (DOGV 06.04.05)
		- Instituto Universitario de Tecnología Informática (ITI) (CGP 22.12.03) (DOGV 02.08.05)
	Institutos Propios de Investigación
		- Instituto de Ingeniería Energética (IIE) (JG 10.04.01)
		- Instituto Agroforestal Mediterráneo (IAM) (JG 26.07.01)
		- Instituto de Transporte y Territorio (ITT) (JG 26.07.01)
		- Instituto de Diseño para la Fabricación y Producción Automatizada (IDF) (CGP 27.02.03)
		- Instituto de Matemática Pura y Aplicada (IMPA) (CGP 13.11.03)
		- Instituto de Investigación en Química Molecular Aplicada (CIQMA) (CGP 29.01.04)
		- Instituto de Ciencia y Tecnología del Hormigón (ICITECH) (CGP 21.12.04)
		- Instituto Tecnológico de Materiales (ITM) (CGP 29.01.04)
		- Instituto de Seguridad Industrial, Radiofísica y Medioambiental (ISIRYM) (CGP 10.02.05)
		- Institutos de Investigación Mixtos y Concertados
		- Instituto de Tecnología Eléctrica (ITE) (JG 07.07.94)
		- Instituto para la Gestión de la Innovación y el Conocimiento (INGENIO) (JG 29.10.98)
	Centros Propios de Investigación
		- Centro Valenciano de Estudios sobre el Riego (CVER) (JG 27.02.97)
		- Centro de Investigación en Ingeniería Económica (INECO) (JG 27.02.97)
		- Centro de Biomateriales (CB) (JG 01.06.99)
		- Centro de Investigación en Gestión e Ingeniería de Producción (CIGIP) (JG 25.11.99)
		- Centro de Especialización en Gestión de Empresas Agroalimentarias (CEGEA) (JG 25.11.99)
		- Centro de Ecología Química Agrícola (CEQA) (JG 10.04.01)
		- Centro de Investigación e Innovación en Bioingeniería (CIIB) (JG 26.07.01)
		- Centro de Investigación de Tecnología de Vehículos (CITIV) (CGP 27.02.03)
		- Centro Avanzado de Microbiología de Alimentos (CAMA) (CGP 24.07.03)
		- Centro Arte y Entorno (CGP 21.12.04)
		- Centro Multidisciplinar de Modelación de Fluidos (CG 02.03.06)
	Centros en Red
		- Centro en Red en Ingeniería Biomédica (CRIB) (JG 26.07.01)
		- Centro en Red de Prevención de Riesgos Laborales (CeRPRL) (JG 06.04.05)
		- Centro en Red de Tecnologías del Automóvil (CRTV) (JG 29.09.05)";;"0";;0;0;24/7/2014 0:00:00;"p4c0b43n4";7/2/2021 11:26:37;"p4c0b43n4";11/10/2023 21:29:05;;;;1
17;"Reglamento";"Reglamento por el que se aprueba la normativa para el desarrollo del posgrado oficial";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";27/7/2006 0:00:00;28/7/2006 0:00:00;"Reglamento por el que se aprueba la normativa para el desarrollo del posgrado oficial (CG 27-07-2006) - BOUPV 0
Aprobado por acuerdo del Consejo de Gobierno de 27 de julio de 2006";;"0";;0;0;15/12/2011 0:00:00;"p4c0b43n4";7/2/2021 11:28:03;"p4c0b43n4";16/11/2023 17:44:09;;;;1
18;"Normativa";"Normativa regulación condiciones de progreso y permanencia en una titulación UPV";2;100;"Consejo Social";30;"Consejo Social";;;"Público";11/9/2006 0:00:00;12/9/2006 0:00:00;"Normativa de regulación de las condiciones de progreso y permanencia en una titulación de la Universidad Politécnica de Valencia (CS 11-09-2006) - BOUPV 0
Aprobada por el Pleno del Consejo Social de 11 de septiembre de 2006";;"0";;0;0;27/5/2010 0:00:00;"p4c0b43n4";7/2/2021 11:29:20;"p4c0b43n4";31/7/2021 9:07:07;;;;1
19;"Reglamento";"Reglamentos de Departamentos aprobados y en trámite en 2006";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";31/12/2006 0:00:00;;"Reglamentos de Departamentos aprobados y en trámite en 2006 - BOUPV 0
	Aprobados
		Biotecnología (CGP 26.09.05)
		Lingüística Aplicada (CGP 26.01.06)
		Ingeniería de Sistemas y Automática (CGP 26.01.06)
		Biología Vegetal (CGP 26.01 .06)
		Expresión Gráfica Arquitectónica (CG 02.03.06)
		Ciencia Animal (CG 29.06.06)
		Sistemas Informáticos y Computación (CG 29.06.06)
		Comunicaciones (CG 26.09.06)
		Pintura (CG 26.09.06)
		Máquinas y Motores Térmicos (CG 26.09.06)
		Composición Arquitectónica (CG 26.09.06)
		Ingeniería Electrónica (CG 26.09.06)
		Ingeniería Textil y Papelera (CG 09.11.06)
		Ingeniería Rural y Agroalimentaria (CG 09.11.06)
	En trámite
		Química
		Proyectos de Ingeniería
		Ingeniería Eléctrica
		Escultura
		Comunicación Audiovisual, Documentación e Historia del Arte
		Estadística
		Expresión Gráfica en la Ingeniería
		Economía y Ciencias Sociales
		Informática de Sistemas y Computadores (DISCA)
		Ecosistemas Agroforestales
		Ingeniería de la Construcción y Proyectos de Ingeniería Civil
		Ingeniería Mecánica y Materiales
		Tecnología de Alimentos
		Termodinámica Aplicada
		Matemática Aplicada
		Ingeniería Química y Nuclear
		Mecanización y Tecnología Agraria
		Dibujo
		Organización de Empresas";;"0";;0;0;;"p4c0b43n4";7/2/2021 11:44:44;"p4c0b43n4";7/2/2021 11:45:18;;;;1
20;"Reglamento";"Reglamento del Consejo de Gobierno UPV";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";2/3/2006 0:00:00;2/3/2006 0:00:00;"Reglamento del Consejo de Gobierno de la Universidad Politécnica de Valencia (CG 02-03-2006) - BOUPV 0
Aprobado en el Consejo de Gobierno de 2 de marzo de 2006";;"0";;0;0;;"p4c0b43n4";7/2/2021 11:46:04;"p4c0b43n4";11/11/2023 19:03:55;"Deroga: 
  Reglamento del Consejo de Gobierno provisional, aprobado por acuerdo de 25 de septiembre de 2002. 
  Quedan derogadas cuantas normas de igual o inferior rango se opongan a lo dispuesto en el presente Reglamento";;;1
21;"Reglamento";"Reglamento del Claustro Universitario UPV";2;149;"Claustro Universitario";120;"UPV";;;"Público";2/2/2006 0:00:00;2/2/2006 0:00:00;"Reglamento del Claustro Universitario de la Universidad Politécnica de Valencia (CU 02-02-2006) - BOUPV 0
Aprobado en el Claustro Universitario de 2 de febrero de 2006";;"0";;0;0;;"p4c0b43n4";7/2/2021 11:47:22;"p4c0b43n4";1/11/2023 19:18:48;"Deroga: 
  Reglamento del Claustro de 20 de febrero de 2003, así como cuantas normas de igual o inferior rango se opongan al mismo.";;;1
22;"Normativa";"Creación y concesión de la Medalla XXV Años de la UPV";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";25/5/2006 0:00:00;26/5/2006 0:00:00;"Creación y concesión de la Medalla XXV Años de la Universidad Politécnica de Valencia (CG 25-05-2006) - BOUPV 0
Aprobada por el Consejo de Gobierno de 25 de mayo de 2006";;"0";;0;0;28/5/2015 0:00:00;"p4c0b43n4";7/2/2021 12:48:12;"p4c0b43n4";12/11/2023 19:49:31;;;;1
23;"Reglamento";"Reglamento de Distinciones Honoríficas UPV";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";4/7/1989 0:00:00;5/7/1989 0:00:00;"Reglamento de Distinciones Honoríficas de la Universidad Politécnica de Valencia (JG 04-07-1989) - BOUPV 0
Aprobado por la Junta de Gobierno en su sesión del 4 de julio de 1989";;"0";;0;0;28/5/2015 0:00:00;"p4c0b43n4";7/2/2021 13:32:01;"p4c0b43n4";12/11/2023 19:49:37;"Deroga: 
  Reglamento de Honores aprobado por la Junta de Gobierno el 9 de septiembre de 1976, modificado por acuerdo de la Junta de Gobierno, en sesión del día 2 de diciembre de 1986.";;;1
24;"Acuerdo";"Relación de Distinciones Honoríficas 2006";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";31/12/2006 0:00:00;;"Relación de Distinciones Honoríficas 2006 - BOUPV 0";;"0";;0;0;;"p4c0b43n4";7/2/2021 13:39:53;"p4c0b43n4";12/11/2023 19:49:02;;;;1
25;"Normativa";"Normativa de la Subcomisión de Rendimiento Académico y Evaluación Curricular para el procedimiento de evaluación curricular";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";14/12/2006 0:00:00;1/1/2007 0:00:00;"Normativa de la Subcomisión de Rendimiento Académico y Evaluación Curricular para el procedimiento de evaluación curricular (CG 14-12-2006) - BOUPV 1
Aprobada por el Consejo de Gobierno en su sesión de 14 de diciembre de 2006";;"1";;0;0;;"p4c0b43n4";21/2/2021 17:31:46;"p4c0b43n4";16/11/2023 17:49:50;"NOTA: La Subcomisión de Rendimiento Académico y Evaluación Curricular fue creada por el Consejo de Gobierno Provisional en sesión celebrada el día 6 de abril de 2004";;;1
26;"Reglamento";"Reglamento del Defensor Universitario de la UPV";2;149;"Claustro Universitario";120;"UPV";;;"Público";19/12/2006 0:00:00;20/12/2006 0:00:00;"Reglamento del Defensor Universitario de la Universidad Politécnica de Valencia (CU 19-12-2006) - BOUPV 1
Aprobado por acuerdo del Claustro Universitario de 19 de diciembre de 2006";;"1";;0;0;;"p4c0b43n4";21/2/2021 17:33:38;"p4c0b43n4";21/2/2021 17:34:50;"Deroga: 
  Reglamento sobre el Defensor de la Comunidad Universitaria aprobado por la Junta de Gobierno de 18 de diciembre de 1990
.";;;1
27;"Reglamento";"Reglamento por el que se establece la Normativa sobre Prácticas en Empresas e Instituciones de los alumnos de la UPV";2;169;"Consejo de Gobierno";120;"UPV";;;"Público";14/12/2006 0:00:00;15/12/2006 0:00:00;"Reglamento por el que se establece la Normativa sobre Prácticas en Empresas e Instituciones de los alumnos de la Universidad Politécnica de Valencia (CG 14-12-2006) - BOUPV 1
Aprobado por Acuerdo del Consejo de Gobierno de 14 de diciembre de 2006";;"1";;0;0;25/4/2012 0:00:00;"p4c0b43n4";21/2/2021 17:35:21;"p4c0b43n4";11/10/2023 20:43:20;;;;1
