"IdDocAdj";"IdNormativa";"Documento";"Ruta";"Formato";"Titulo";"Detalle";"Descripción";"Idioma";"CreadoPor";"FCreado";"ModificadoPor";"FModificado"
11;6;"2011000000000600000011.pdf";"\2011";"pdf";"Decreto 182-2011, de 25 de noviembre, del Consell, se aprueban los Estatutos de la UPV 2011 - BOUPV";;"Decreto 182-2011, de 25 de noviembre, del Consell, se aprueban los Estatutos de la UPV 2011";;"p4c0b43n4";7/2/2021 8:45:58;"p4c0b43n4";7/2/2021 8:45:58
12;7;"2006000000000700000012.pdf";"\2006";"pdf";"Reglamento del Boletín Oficial UPV (DOGV 5404 - 11-12-2006).pdf";;"Reglamento del Boletín Oficial UPV";;"p4c0b43n4";7/2/2021 10:57:35;"p4c0b43n4";7/2/2021 10:57:35
13;7;"2006000000000700000013.pdf";"\2006";"pdf";"Reglamento del Boletín Oficial UPV (CG 09-11-2006) - BOUPV 0.pdf";;"Reglamento del Boletín Oficial UPV";;"p4c0b43n4";7/2/2021 11:00:34;"p4c0b43n4";7/2/2021 11:00:34
14;8;"1971000000000800000014.pdf";"\1971";"pdf";"Decreto 495-1971, de 11 de marzo, aprueba estructura departamental del IPSV y se constituye en UPV (BOE 73 - 26-03-1971).pdf";;"Decreto 495-1971, de 11 de marzo, aprueba estructura departamental del Instituto Politécnico Superior de Valencia y se constituye en UPV";;"p4c0b43n4";7/2/2021 11:02:33;"p4c0b43n4";7/2/2021 11:04:55
15;8;"1971000000000800000015.pdf";"\1971";"pdf";"Decreto 495-1971, de 11 de marzo, aprueba estructura departamental del IPSV y se constituye en UPV - BOUPV 0.pdf";;"Decreto 495-1971, de 11 de marzo, aprueba estructura departamental del Instituto Politécnico Superior de Valencia y se constituye en UPV";;"p4c0b43n4";7/2/2021 11:02:43;"p4c0b43n4";7/2/2021 11:04:48
16;9;"1985000000000900000016.pdf";"\1985";"pdf";"RD 2633-1985, de 20 de noviembre, traspaso servicios de la AE a la CV en materia universidades (BOE 18 - 21-01-1986) [ORIGINAL].pdf";;"RD 2633/1985, de 20 de noviembre, sobre traspaso de servicios de la Administración del Estado a la Comunidad Valenciana en materia de universidades";;"p4c0b43n4";7/2/2021 11:07:34;"p4c0b43n4";7/2/2021 11:07:34
17;9;"1985000000000900000017.pdf";"\1985";"pdf";"RD 2633-1985, de 20 de noviembre, traspaso servicios de la AE a la CV en materia universidades (BOE 18 - 21-01-1986).pdf";;"RD 2633/1985, de 20 de noviembre, sobre traspaso de servicios de la Administración del Estado a la Comunidad Valenciana en materia de universidades";;"fmbaena";4/3/2021 13:23:10;"fmbaena";4/3/2021 13:23:10
18;9;"1985000000000900000018.pdf";"\1985";"pdf";"RD 2633-1985, de 20 de noviembre, traspaso servicios de la AE a la CV en materia universidades [Completo] (BOE 18 - 21-01-1986) [ORIGINAL].pdf";;"RD 2633/1985, de 20 de noviembre, sobre traspaso de servicios de la Administración del Estado a la Comunidad Valenciana en materia de universidades";;"fmbaena";4/3/2021 13:23:50;"fmbaena";4/3/2021 13:23:50
19;9;"1985000000000900000019.pdf";"\1985";"pdf";"RD 2633-1985, de 20 de noviembre, traspaso servicios de la AE a la CV en materia universidades [Completo] (BOE 18 - 21-01-1986).pdf";;"RD 2633/1985, de 20 de noviembre, sobre traspaso de servicios de la Administración del Estado a la Comunidad Valenciana en materia de universidades";;"fmbaena";4/3/2021 13:24:17;"fmbaena";4/3/2021 13:24:17
20;9;"1985000000000900000020.rtf";"\1985";"rtf";"RD 2633-1985, de 20 de noviembre, traspaso servicios de la AE a la CV en materia universidades (DOGV 338 - 07-02-1986).rtf";;"RD 2633/1985, de 20 de noviembre, sobre traspaso de servicios de la Administración del Estado a la Comunidad Valenciana en materia de universidades";;"p4c0b43n4";7/2/2021 11:08:24;"p4c0b43n4";7/2/2021 11:08:24
21;9;"1985000000000900000021.pdf";"\1985";"pdf";"RD 2633-1985, de 20 de noviembre, traspaso servicios de la AE a la CV en materia universidades - BOUPV 0.pdf";;"RD 2633/1985, de 20 de noviembre, sobre traspaso de servicios de la Administración del Estado a la Comunidad Valenciana en materia de universidades";;"fmbaena";4/3/2021 13:24:51;"fmbaena";4/3/2021 13:24:51
22;10;"2006000000001000000022.pdf";"\2006";"pdf";"Normativa universitaria vigente en 2006 - BOUPV 0.pdf";;"Normativa universitaria vigente en 2006";;"p4c0b43n4";7/2/2021 11:12:36;"p4c0b43n4";7/2/2021 11:12:36
23;11;"2006000000001100000023.pdf";"\2006";"pdf";"Acuerdos más destacados del Consejo de Gobierno de 2006 - BOUPV 0.pdf";;"Acuerdos más destacados del Consejo de Gobierno de 2006";;"p4c0b43n4";7/2/2021 11:14:00;"p4c0b43n4";7/2/2021 11:14:00
24;12;"2006000000001200000024.pdf";"\2006";"pdf";"Acuerdos más destacados del Claustro Universitario de 2006 - BOUPV 0.pdf";;"Acuerdos más destacados del Claustro Universitario de 2006";;"p4c0b43n4";7/2/2021 11:14:58;"p4c0b43n4";7/2/2021 11:14:58
25;13;"2006000000001300000025.pdf";"\2006";"pdf";"Acuerdos más destacados del Consejo Social de 2006 - BOUPV 0.pdf";;"Acuerdos más destacados del Consejo Social de 2006";;"p4c0b43n4";7/2/2021 11:16:58;"p4c0b43n4";7/2/2021 13:36:50
26;14;"2006000000001400000026.pdf";"\2006";"pdf";"Resolución del Rector, de 6 de abril de 2006, modifica EOyF órganos de gobierno unipersonal de ámbito general UPV - BOUPV 0.pdf";;"Resolución del Rector, de 6 de abril de 2006, modifica estructura orgánica y funcional órganos de gobierno unipersonal de ámbito general UPV";;"p4c0b43n4";7/2/2021 11:23:34;"p4c0b43n4";7/2/2021 11:23:34
27;15;"2006000000001500000027.pdf";"\2006";"pdf";"Acuerdo de constitución y ámbito de actuación comisiones del Consejo de Gobierno (CG 06-04-2006) - BOUPV 0.pdf";;"Acuerdo de constitución y ámbito de actuación comisiones del Consejo de Gobierno";;"p4c0b43n4";7/2/2021 11:25:51;"p4c0b43n4";7/2/2021 11:25:51
28;16;"2006000000001600000028.pdf";"\2006";"pdf";"Reglamento para las estructuras de investigación, desarrollo e innovación UPV (CG 27-07-2006) - BOUPV 0.pdf";;"Reglamento para las estructuras de investigación, desarrollo e innovación UPV";;"p4c0b43n4";7/2/2021 11:27:27;"p4c0b43n4";7/2/2021 11:27:27
29;17;"2006000000001700000029.pdf";"\2006";"pdf";"Reglamento normativa desarrollo del posgrado oficial (CG 27-07-2006) - BOUPV 0.pdf";;"Reglamento normativa desarrollo del posgrado oficial";;"p4c0b43n4";7/2/2021 11:29:00;"p4c0b43n4";7/2/2021 11:29:00
30;18;"2006000000001800000030.pdf";"\2006";"pdf";"Normativa regulación condiciones de progreso y permanencia en una titulación UPV (CS 11-09-2006) - BOUPV 0.pdf";;"Normativa regulación condiciones de progreso y permanencia en una titulación UPV";;"p4c0b43n4";7/2/2021 11:30:48;"p4c0b43n4";7/2/2021 11:30:48
31;19;"2006000000001900000031.pdf";"\2006";"pdf";"Reglamentos de Departamentos aprobados y en trámite en 2006 - BOUPV 0.pdf";;"Reglamentos de Departamentos aprobados y en trámite en 2006";;"p4c0b43n4";7/2/2021 11:45:44;"p4c0b43n4";7/2/2021 11:45:44
32;20;"2006000000002000000032.pdf";"\2006";"pdf";"Reglamento del Consejo de Gobierno UPV (CG 02-03-2006) - BOUPV 0.pdf";;"Reglamento del Consejo de Gobierno UPV";;"p4c0b43n4";7/2/2021 11:47:11;"p4c0b43n4";7/2/2021 11:47:11
33;21;"2006000000002100000033.pdf";"\2006";"pdf";"Reglamento del Claustro Universitario UPV (CU 02-02-2006) - BOUPV 0.pdf";;"Reglamento del Claustro Universitario UPV";;"p4c0b43n4";7/2/2021 11:47:57;"p4c0b43n4";7/2/2021 11:47:57
34;22;"2006000000002200000034.pdf";"\2006";"pdf";"Creación y concesión de la Medalla XXV Años de la UPV (CG 25-05-2006) - BOUPV 0.pdf";;"Creación y concesión de la Medalla XXV Años de la UPV";;"p4c0b43n4";7/2/2021 12:48:57;"p4c0b43n4";7/2/2021 12:48:57
35;23;"1989000000002300000035.pdf";"\1989";"pdf";"Reglamento de Distinciones Honoríficas UPV (JG 04-07-1989) - BOUPV 0.pdf";;"Reglamento de Distinciones Honoríficas UPV";;"p4c0b43n4";7/2/2021 13:34:46;"p4c0b43n4";7/2/2021 13:34:46
36;24;"2006000000002400000036.pdf";"\2006";"pdf";"Relación de Distinciones Honoríficas 2006 - BOUPV 0.pdf";;"Relación de Distinciones Honoríficas 2006";;"p4c0b43n4";7/2/2021 13:41:08;"p4c0b43n4";7/2/2021 13:41:08
37;25;"2006000100002500000037.pdf";"\2006";"pdf";"Normativa Subcomisión de Rendimiento Académico y Evaluación Curricular para el procedimiento de evaluación curricular (CG 14-12-2006) - BOUPV 1.pdf";;"Normativa de la Subcomisión de Rendimiento Académico y Evaluación Curricular para el procedimiento de evaluación curricular";;"p4c0b43n4";21/2/2021 17:32:51;"p4c0b43n4";21/2/2021 17:32:51
38;26;"2006000100002600000038.pdf";"\2006";"pdf";"Reglamento del Defensor Universitario de la UPV (CU 19-12-2006) - BOUPV 1.pdf";;"Reglamento del Defensor Universitario de la UPV";;"p4c0b43n4";21/2/2021 17:35:04;"p4c0b43n4";21/2/2021 17:35:04
39;27;"2006000100002700000039.pdf";"\2006";"pdf";"Reglamento Normativa sobre Prácticas en Empresas e Instituciones de los alumnos de la UPV (CG 14-12-2006) - BOUPV 1.pdf";;"Reglamento por el que se establece la Normativa sobre Prácticas en Empresas e Instituciones de los alumnos de la UPV";;"p4c0b43n4";21/2/2021 17:36:09;"p4c0b43n4";21/2/2021 17:36:09
40;28;"2006000100002800000040.pdf";"\2006";"pdf";"Corrección de erratas Acuerdos más destacados del CG 14-12-2006 - Composición Junta Electoral - BOUPV 1.pdf";;"Corrección de erratas Acuerdos más destacados del CG 14-12-2006 - Composición Junta Electoral";;"p4c0b43n4";21/2/2021 17:40:04;"p4c0b43n4";22/2/2021 6:59:32
41;29;"2006000100002900000041.pdf";"\2006";"pdf";"Resumen del Presupuesto de la UPV para 2007 (CS 20-12-2006) - BOUPV 1.pdf";;"Resumen del Presupuesto de la UPV para 2007";;"p4c0b43n4";21/2/2021 17:41:21;"p4c0b43n4";22/2/2021 7:00:04
42;30;"2006000100003000000042.pdf";"\2006";"pdf";"Concesión de la Medalla XXV Años de la UPV (CG 14-12-2006) - BOUPV 1.pdf";;"Concesión de la Medalla XXV Años de la UPV";;"p4c0b43n4";21/2/2021 17:42:28;"p4c0b43n4";22/2/2021 6:59:51
43;31;"2007000200003100000043.pdf";"\2007";"pdf";"Acuerdos del Consejo de Gobierno de 8 de febrero de 2007 (CG 08-02-2007) - BOUPV 2.pdf";;"Acuerdos del Consejo de Gobierno de 8 de febrero de 2007";;"p4c0b43n4";21/2/2021 17:45:47;"p4c0b43n4";21/2/2021 17:50:57
44;32;"2007000200003200000044.pdf";"\2007";"pdf";"Acuerdos de la Comisión de Promoción del Profesorado de 23 de enero de 2007 (CG-CPP 2007-01-23).pdf";;"Acuerdos de la Comisión de Promoción del Profesorado de 23 de enero de 2007";;"p4c0b43n4";21/2/2021 18:17:29;"p4c0b43n4";21/2/2021 18:18:38
45;33;"2007000200003300000045.pdf";"\2007";"pdf";"Acuerdos de la Comisión de I+D+i de 30 de enero de 2007 (CG-CIDI 2007-01-30).pdf";;"Acuerdos de la Comisión de I+D+i de 30 de enero de 2007";;"p4c0b43n4";21/2/2021 18:19:19;"p4c0b43n4";21/2/2021 18:19:19
46;34;"2007000200003400000046.pdf";"\2007";"pdf";"Acuerdos de la Comisión de Posgrado de 1 de febrero de 2007 (CG-CP 2007-02-01).pdf";;"Acuerdos de la Comisión de Posgrado de 1 de febrero de 2007";;"p4c0b43n4";21/2/2021 18:19:59;"p4c0b43n4";21/2/2021 18:19:59
47;35;"2007000200003500000047.pdf";"\2007";"pdf";"Reglamento del Registro Oficial de Estructuras de Investigación y de Personal en Investigación en la UPV (CG 2007-02-08).pdf";;"Reglamento del Registro Oficial de Estructuras de Investigación y de Personal en Investigación en la UPV";;"p4c0b43n4";21/2/2021 18:20:47;"p4c0b43n4";21/2/2021 18:20:47
48;36;"2007000200003600000048.pdf";"\2007";"pdf";"Criterios para la Realización de las Matrículas y el Reconocimiento de Créditos en los Estudios Oficiales de Posgrado (CG-CP 2007-02-01).pdf";;"Criterios para la Realización de las Matrículas y el Reconocimiento de Créditos en los Estudios Oficiales de Posgrado";;"p4c0b43n4";21/2/2021 18:24:13;"p4c0b43n4";21/2/2021 18:24:13
49;37;"2007000200003700000049.pdf";"\2007";"pdf";"Corrección de erratas Reglamento del Defensor Universitario de la UPV aprobado CU 19-12-2006 - BOUPV 2.pdf";;"Corrección de erratas en el Reglamento del Defensor Universitario de la UPV aprobado CU 19-12-2006";;"p4c0b43n4";21/2/2021 18:28:00;"p4c0b43n4";21/2/2021 18:28:00
50;38;"2007000300003800000050.pdf";"\2007";"pdf";"Acuerdos del Consejo de Gobierno de 29 de marzo de 2007 (CG 29-03-2007) - BOUPV 3.pdf";;"Acuerdos del Consejo de Gobierno de 29 de marzo de 2007";;"p4c0b43n4";21/2/2021 18:30:17;"p4c0b43n4";21/2/2021 18:30:17
51;39;"2007000300003900000051.pdf";"\2007";"pdf";"Comisión Ambiental (CG 29-03-2007) - BOUPV 3.pdf";;"Comisión Ambiental";;"p4c0b43n4";21/2/2021 18:31:47;"p4c0b43n4";21/2/2021 18:31:47
52;40;"2007000300004000000052.pdf";"\2007";"pdf";"Comisión de Usuarios de Sistemas de Información y Comunicaciones (CG 29-03-2007) - BOUPV 3.pdf";;"Comisión de Usuarios de Sistemas de Información y Comunicaciones";;"p4c0b43n4";21/2/2021 18:32:29;"p4c0b43n4";21/2/2021 18:32:29
53;41;"2007000300004100000053.pdf";"\2007";"pdf";"Normativa requisitos formativos complementarios previos homologación títulos (CG 29-03-2007) - BOUPV 3.pdf";;"Normativa para la realización de los requisitos formativos complementarios previos a la homologación de los títulos extranjeros de educación superior";;"p4c0b43n4";21/2/2021 18:33:20;"p4c0b43n4";21/2/2021 18:33:20
54;42;"2007000300004200000054.pdf";"\2007";"pdf";"Calendario laboral del PAS para el año 2007 (CG 29-03-2007) - BOUPV 3.pdf";;"Calendario laboral del PAS para el año 2007";;"p4c0b43n4";21/2/2021 18:34:51;"p4c0b43n4";21/2/2021 18:34:51
55;43;"2007000300004300000055.pdf";"\2007";"pdf";"Corrección de erratas en los Acuerdos del CG 08-02-2007 - Designación de miembros de la Subcomisión de Acción Social - BOUPV 3.pdf";;"Corrección de erratas en los Acuerdos del CG 08-02-2007 - Designación de miembros de la Subcomisión de Acción Social";;"p4c0b43n4";21/2/2021 18:36:21;"p4c0b43n4";21/2/2021 18:36:21
56;44;"2007000300004400000056.pdf";"\2007";"pdf";"Resolución de 27 de febrero de 2007 del Rectorado delegan competencias en JS de Aplicaciones y en JS de Sistemas-Redes - BOUPV 3.pdf";;"Resolución de 27 de febrero de 2007 del Rectorado delegan competencias en Jefa del Servicio de Aplicaciones y en Jefe del Servicio de Sistemas-Redes";;"p4c0b43n4";21/2/2021 18:39:44;"p4c0b43n4";21/2/2021 18:39:44
57;45;"2007000400004500000057.pdf";"\2007";"pdf";"Acuerdo del Consejo Social de 25 de abril de 2007 (CS 25-04-2007) - BOUPV 4.pdf";;"Acuerdo del Consejo Social de 25 de abril de 2007";;"p4c0b43n4";21/2/2021 18:42:15;"p4c0b43n4";21/2/2021 18:42:15
58;46;"2007000400004600000058.pdf";"\2007";"pdf";"Corrección de erratas en los Acuerdos del Consejo de Gobierno de 29 de marzo de 2007 - Límites de admisión del curso 2007-2008 - BOUPV 4.pdf";;"Corrección de erratas en los Acuerdos del Consejo de Gobierno de 29 de marzo de 2007 - Límites de admisión del curso 2007-2008";;"p4c0b43n4";21/2/2021 18:43:26;"p4c0b43n4";21/2/2021 18:43:26
59;47;"2007000400004700000059.pdf";"\2007";"pdf";"Convenios firmados por la UPV y depositados en la Secretaría General de la Universidad desde enero a marzo de 2007 - BOUPV 4.pdf";;"Convenios firmados por la UPV y depositados en la Secretaría General de la Universidad desde enero a marzo de 2007";;"p4c0b43n4";21/2/2021 18:44:57;"p4c0b43n4";21/2/2021 18:44:57
60;48;"2007000400004800000060.pdf";"\2007";"pdf";"Convenios firmados por la UPV en materia de formación permanente desde enero a marzo de 2007 - BOUPV 4.pdf";;"Convenios firmados por la UPV en materia de formación permanente desde enero a marzo de 2007";;"p4c0b43n4";21/2/2021 18:45:40;"p4c0b43n4";21/2/2021 18:45:40
61;49;"2007000500004900000061.pdf";"\2007";"pdf";"Acuerdos del Consejo de Gobierno de 17 de mayo de 2007 (CG 17-05-2007) - BOUPV 5.pdf";;"Acuerdos del Consejo de Gobierno de 17 de mayo de 2007";;"p4c0b43n4";22/2/2021 7:01:48;"p4c0b43n4";22/2/2021 7:01:48
62;50;"2007000500005000000062.pdf";"\2007";"pdf";"Acuerdos de la Comisión de I+D+i de 8 de mayo de 2007 (CG-CIDI 08-05-2007) - BOUPV 5.pdf";;"Acuerdos de la Comisión de I+D+i de 8 de mayo de 2007";;"p4c0b43n4";22/2/2021 7:02:40;"p4c0b43n4";22/2/2021 7:02:40
63;51;"2007000500005100000063.pdf";"\2007";"pdf";"Reglamento de Uso de los Servicios y Recursos Informáticos de la UPV  (CG 17-05-2007) - BOUPV 5.pdf";;"Reglamento de Uso de los Servicios y Recursos Informáticos de la UPV";;"p4c0b43n4";22/2/2021 7:03:30;"p4c0b43n4";22/2/2021 7:03:30
64;52;"2007000500005200000064.pdf";"\2007";"pdf";"Comisión de I+D+i del Consejo de Gobierno (CG 17-05-2007) - BOUPV 5.pdf";;"Comisión de I+D+i del Consejo de Gobierno";;"p4c0b43n4";22/2/2021 7:04:31;"p4c0b43n4";22/2/2021 7:04:31
65;53;"2007000600005300000065.pdf";"\2007";"pdf";"Acuerdos del Consejo de Gobierno de 21 de junio de 2007 (CG 21-06-2007) - BOUPV 6.pdf";;"Acuerdos del Consejo de Gobierno de 21 de junio de 2007";;"p4c0b43n4";22/2/2021 7:21:14;"p4c0b43n4";22/2/2021 7:21:14
66;54;"2007000600005400000066.pdf";"\2007";"pdf";"Política ambiental de la UPV (CG CG 21-06-2007) - BOUPV 6.pdf";;"Política ambiental de la UPV";;"p4c0b43n4";22/2/2021 7:22:15;"p4c0b43n4";22/2/2021 7:22:15
67;55;"2007000700005500000067.pdf";"\2007";"pdf";"Acuerdos del Consejo de Gobierno de 24 de julio de 2007 (CG 24-07-2007) - BOUPV 7.pdf";;"Acuerdos del Consejo de Gobierno de 24 de julio de 2007";;"p4c0b43n4";22/2/2021 7:23:26;"p4c0b43n4";22/2/2021 7:23:26
68;56;"2007000700005600000068.pdf";"\2007";"pdf";"Acuerdos del Consejo Social de 16 de julio de 2007 (CS 16-07-2007) - BOUPV 7.pdf";;"Acuerdos del Consejo Social de 16 de julio de 2007";;"p4c0b43n4";22/2/2021 7:24:20;"p4c0b43n4";22/2/2021 7:24:20
69;57;"2007000700005700000069.pdf";"\2007";"pdf";"Normativa de contratación y criterios de evaluación para la selección de PDI contratado por la UPV (CG 24-07-2007) - BOUPV 7.pdf";;"Normativa de contratación y criterios de evaluación para la selección de PDI contratado por la UPV";;"p4c0b43n4";22/2/2021 7:26:56;"p4c0b43n4";22/2/2021 7:26:56
70;58;"2007000700005800000070.pdf";"\2007";"pdf";"Plan de Equipamiento Docente 2007 (CG 24-07-2007) - BOUPV 7.pdf";;"Plan de Equipamiento Docente 2007";;"p4c0b43n4";22/2/2021 7:31:25;"p4c0b43n4";22/2/2021 7:31:25
71;59;"2007000700005900000071.pdf";"\2007";"pdf";"Protocolo de integración de la ETSIA y la ETSMRE (CG 24-07-2007) - BOUPV 7.pdf";;"Protocolo de integración de la ETSIA y la ETSMRE";;"p4c0b43n4";22/2/2021 7:32:32;"p4c0b43n4";22/2/2021 7:32:32
72;60;"2007000700006000000072.pdf";"\2007";"pdf";"Estatutos de la Fundación Servipoli de la UPV (CS 16-07-2007) - BOUPV 7.pdf";;"Estatutos de la Fundación Servipoli de la UPV";;"p4c0b43n4";22/2/2021 7:33:20;"p4c0b43n4";22/2/2021 7:33:20
73;61;"2007000700006100000073.pdf";"\2007";"pdf";"Convenios firmados por la UPV y depositados en la Secretaría General de la Universidad desde abril a junio de 2007 - BOUPV 7.pdf";;"Convenios firmados por la UPV y depositados en la Secretaría General de la Universidad desde abril a junio de 2007";;"p4c0b43n4";22/2/2021 7:34:11;"p4c0b43n4";22/2/2021 7:34:11
74;62;"2007000700006200000074.pdf";"\2007";"pdf";"Convenios firmados por la UPV en materia de formación permanente desde abril a junio de 2007 - BOUPV 7.pdf";;"Convenios firmados por la UPV en materia de formación permanente desde abril a junio de 2007";;"p4c0b43n4";22/2/2021 7:34:54;"p4c0b43n4";22/2/2021 7:34:54
75;63;"2007000800006300000075.pdf";"\2007";"pdf";"Acuerdos del Consejo de Gobierno de 27 de septiembre de 2007 (CG 27-09-2007) - BOUPV 8.pdf";;"Acuerdos del Consejo de Gobierno de 27 de septiembre de 2007";;"p4c0b43n4";22/2/2021 7:44:46;"p4c0b43n4";22/2/2021 7:44:46
76;64;"2007000800006400000076.pdf";"\2007";"pdf";"Acuerdos del Consejo Social de 17 de septiembre de 2007 (CS 17-09-2007) - BOUPV 8.pdf";;"Acuerdos del Consejo Social de 17 de septiembre de 2007";;"p4c0b43n4";22/2/2021 7:45:52;"p4c0b43n4";22/2/2021 7:45:52
77;65;"2007000800006500000077.pdf";"\2007";"pdf";"Acuerdos de la Comisión de I+D+i de 18 de septiembre de 2007 (CG-CIDI 18-09-2007) - BOUPV 8.pdf";;"Acuerdos de la Comisión de I+D+i de 18 de septiembre de 2007";;"p4c0b43n4";22/2/2021 7:46:30;"p4c0b43n4";22/2/2021 7:46:30
78;66;"2007000800006600000078.pdf";"\2007";"pdf";"Modelo de Reglamento de Escuela o Facultad de la UPV (CG 27-09-2007) - BOUPV 8.pdf";;"Modelo de Reglamento de Escuela o Facultad de la UPV";;"p4c0b43n4";22/2/2021 7:48:21;"p4c0b43n4";22/2/2021 7:48:21
79;67;"2007000800006700000079.pdf";"\2007";"pdf";"Modelo de Reglamento de Escuela o Facultad de la UPV (CG 27-09-2007) - BOUPV 8.pdf";;"Modificación de la Normativa para la contratación de Profesores Eméritos de la UPV";;"p4c0b43n4";22/2/2021 7:49:15;"p4c0b43n4";22/2/2021 7:49:15
80;68;"2007000800006800000080.pdf";"\2007";"pdf";"Normativa sobre créditos de libre configuración (CG 27-09-2007) [TC] - BOUPV 8.pdf";;"Normativa sobre créditos de libre configuración [TC]";;"p4c0b43n4";22/2/2021 7:52:10;"p4c0b43n4";22/2/2021 7:52:10
81;69;"2007000900006900000081.pdf";"\2007";"pdf";"Normativa para la contratación de Profesores Eméritos de la UPV (CG 2007-09-27) - BOUPV 9.pdf";;"Normativa para la contratación de Profesores Eméritos de la UPV [TC]";;"p4c0b43n4";22/2/2021 8:00:55;"p4c0b43n4";22/2/2021 8:00:55
82;70;"2007000900007000000082.pdf";"\2007";"pdf";"Convenios firmados por la UPV y depositados en la Secretaría General de la Universidad desde julio a septiembre - BOUPV 9.pdf";;"Convenios firmados por la UPV y depositados en la Secretaría General de la Universidad desde julio a septiembre de 2007";;"p4c0b43n4";22/2/2021 8:23:06;"p4c0b43n4";22/2/2021 8:23:06
83;71;"2007000900007100000083.pdf";"\2007";"pdf";"Convenios firmados por la UPV en materia de formación permanente desde julio a septiembre de 2007 - BOUPV 9.pdf";;"Convenios firmados por la UPV en materia de formación permanente desde julio a septiembre de 2007";;"p4c0b43n4";22/2/2021 8:23:48;"p4c0b43n4";22/2/2021 8:23:48
